threshold,min_component_size,fill_hole_area,postprocess,iou_background,iou_foreground,miou,kappa,accuracy,precision,recall
0.45,0,512,fill_small_holes(max_area=512),0.9610120619637776,0.8182443239730862,0.889628192968432,0.8801566605387882,0.9668334390030426,0.9036694636095921,0.8964352385579057
0.45,0,128,fill_small_holes(max_area=128),0.9610194452166779,0.8181941375409942,0.8896067913788361,0.8801302225907597,0.9668371119716291,0.9040167360338738,0.896033575330584
0.45,0,256,fill_small_holes(max_area=256),0.9610127331978882,0.8181988523136083,0.8896057927557482,0.8801295488575037,0.9668324109710741,0.9038643410472996,0.8961889973673891
0.45,512,512,remove_small_components(min_area=512)+fill_small_holes(max_area=512),0.961025155335653,0.8181398190758471,0.8895824872057501,0.8801004174360281,0.9668394385177637,0.9043476296816749,0.895643639015628
0.45,1024,512,remove_small_components(min_area=1024)+fill_small_holes(max_area=512),0.9610424973916609,0.818107078092845,0.889574787742253,0.8800897595960792,0.9668509055656141,0.9048247660844793,0.8951369369294114
0.45,512,128,remove_small_components(min_area=512)+fill_small_holes(max_area=128),0.9610318137868832,0.8180867359390758,0.8895592748629795,0.8800718622053344,0.966842494667169,0.9046928954022676,0.895241676173785
0.45,512,256,remove_small_components(min_area=512)+fill_small_holes(max_area=256),0.9610252673640794,0.8180921003393138,0.8895586838516967,0.8800716614786278,0.9668379333991146,0.9045407816969021,0.8953971042028804
0.45,0,0,none,0.9610118662663513,0.8180980126446201,0.8895549394554857,0.8800681935033973,0.9668284285948078,0.9042499815684956,0.8956893242378434
0.45,1024,128,remove_small_components(min_area=1024)+fill_small_holes(max_area=128),0.9610491538180997,0.8180539544405612,0.8895515541293304,0.8800611884218427,0.9668539617150196,0.9051708067399802,0.8947349740875684
0.45,1024,256,remove_small_components(min_area=1024)+fill_small_holes(max_area=256),0.9610426085721143,0.8180593271415482,0.8895509678568312,0.8800609890587251,0.9668494004469651,0.9050183630678714,0.8948904021166639
0.455,0,512,fill_small_holes(max_area=512),0.9610090874110822,0.8180234556435262,0.8895162715273042,0.8800217095432955,0.966823938191093,0.9044927383545859,0.8953619474349452
0.45,512,0,remove_small_components(min_area=512),0.9610241065954614,0.8179902179430956,0.8895071622692785,0.8800095339840338,0.9668337084871509,0.9049255582047732,0.8948984437704169
0.45,1024,0,remove_small_components(min_area=1024),0.9610413470867422,0.8179572547385976,0.8894993009126699,0.8799987044062968,0.9668450996802154,0.90540253649061,0.8943930539958039
0.455,512,512,remove_small_components(min_area=512)+fill_small_holes(max_area=512),0.9610283786285337,0.8179492219868962,0.889488800307715,0.8799870295173446,0.966835441170158,0.9051752556576318,0.8946053428687613
0.455,0,256,fill_small_holes(max_area=256),0.9610077323459514,0.8179687885878312,0.8894882604668912,0.8799879857434805,0.9668211405468137,0.9046844379908038,0.8951087132415003
0.455,0,128,fill_small_holes(max_area=128),0.9610106094292081,0.8179485008879929,0.8894795551586006,0.8799772476560686,0.9668225498488909,0.9048230756193546,0.8949487490485516
0.455,1024,512,remove_small_components(min_area=1024)+fill_small_holes(max_area=512),0.9610421395531421,0.817898289677927,0.8894702146155345,0.8799635272247811,0.9668437183246383,0.905655130220909,0.8940762416009286
0.455,512,256,remove_small_components(min_area=512)+fill_small_holes(max_area=256),0.9610264483368199,0.8178922669717813,0.8894593576543006,0.8799516283447777,0.9668321534640374,0.9053650516280731,0.8943519289066035
0.45,1536,512,remove_small_components(min_area=1536)+fill_small_holes(max_area=512),0.9610169721622166,0.8179006608643575,0.8894588165132871,0.8799517085964206,0.9668255690689925,0.9051418439501311,0.8945798876190273
0.455,512,128,remove_small_components(min_area=512)+fill_small_holes(max_area=128),0.9610291235162483,0.8178711632346202,0.8894501433754343,0.8799402965445298,0.9668333910947567,0.905503280862722,0.8941918568524271
0.455,1024,256,remove_small_components(min_area=1024)+fill_small_holes(max_area=256),0.9610402087788609,0.8178412936099091,0.8894407511943849,0.8799281056727704,0.9668404306185177,0.9058453761797653,0.8938228276387709
